"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros %","+/-","GP","MIN","FGA","FG%","3PTM","3PT%","FTA","FT%","PTS","REB","AST","ST","BLK","TO","PF"
"*06215*","Bennedict Mathurin","IND","SG,SF","29","BAM","DET<br/>Sat 7:00PM","79.53","92%","+92.3%","2","27.9","15.0",".500","3.0",".462","6.5",".692","22.5","6.0","2.0","1.0","0.0","1.5","3.0"
"*027pe*","Jimmy Butler","MIA","SF,PF","30","MPJ","TOR<br/>Sat 8:00PM","79.19","98%","+98.3%","2","38.4","14.0",".500","0.0",".000","8.0",".875","21.0","7.5","4.0","1.0","0.5","1.0","1.0"
"*03ad4*","D'Angelo Russell","MIN","PG,SG","31","DOBB","","79.02","98%","+98.2%","2","37.0","16.5",".455","2.5",".357","4.5",".889","21.5","5.0","4.5","1.5","1.0","3.5","2.5"
"*03ajv*","Julius Randle","NY","PF","32","REIM","","78.94","100%","+99.7%","2","30.2","14.0",".500","2.0",".444","4.5",".778","19.5","8.5","3.0","1.0","0.0","1.5","4.0"
"*027oj*","Kyrie Irving","BKN","PG,SG","33","HUGG","","77.26","99%","+98.9%","2","37.4","21.5",".395","2.5",".263","3.0","1.000","22.5","1.5","6.0","1.0","0.5","2.0","3.5"
"*031lx*","CJ McCollum","NO","PG,SG","34","REIM","","76.94","98%","+98.1%","2","31.3","16.5",".485","2.5",".333","3.0",".833","21.0","5.0","4.0","2.0","0.0","2.0","2.5"
"*03al2*","Joel Embiid","PHI","C","35","CTM","SA<br/>Sat 6:00PM","76.74","100%","+99.7%","2","36.7","19.5",".385","1.0",".222","6.0",".750","20.5","13.5","4.0","0.0","1.0","5.0","3.0"
"*051pb*","Nicolas Claxton","BKN","C","36","JR","","76.3","94%","+94.2%","2","29.3","9.0",".778","0.0","0","5.0",".400","16.0","10.5","0.0","1.0","3.0","2.0","2.5"
"*05uj4*","Santi Aldama","MEM","PF,C","37","CTM","@DAL<br/>Sat 8:30PM","75.91","78%","+78.1%","2","35.0","12.5",".400","1.5",".273","3.0",".500","13.0","10.0","2.0","1.0","2.0","0.5","1.0"
"*03aq2*","Jerami Grant","POR","SF,PF","38","DOBB","","75.14","98%","+98.2%","2","37.7","9.0",".444","2.0",".800","8.5",".647","15.5","6.0","1.5","1.0","1.0","1.0","2.5"
"*02xg9*","Rudy Gobert","MIN","C","39","JR","","74.76","99%","+98.7%","2","36.1","12.5",".560","0.0","0","4.0",".500","16.0","19.5","1.0","1.0","1.5","2.0","2.0"
"*05qt3*","Desmond Bane","MEM","SG,SF","40","DOBB","@DAL<br/>Sat 8:30PM","74.07","100%","+99.6%","2","35.4","19.0",".237","3.0",".261","3.5",".857","15.0","5.0","6.5","1.0","0.5","2.5","2.5"
"*027pg*","Bojan Bogdanovic","DET","SF,PF","41","DOBB","@IND<br/>Sat 7:00PM","74.01","89%","+88.7%","2","30.4","12.5",".600","3.5",".583","3.0",".833","21.0","4.5","1.5","0.5","0.0","1.0","1.5"
"*05293*","John Konchar","MEM","SG","42","BOS","@DAL<br/>Sat 8:30PM","73.92","35%","+34.9%","2","31.8","11.0",".500","3.5",".467","0.0","0","14.5","8.0","1.0","2.5","0.5","0.5","0.5"
"*0015e*","Mike Conley","UTA","PG","43","MPJ","","73.87","85%","+84.8%","2","34.1","11.5",".304","2.5",".385","3.5",".857","12.5","2.5","9.5","2.0","0.5","2.0","2.5"
"*05uic*","Jalen Green","HOU","SG","44","JR","@MIL<br/>Sat 8:00PM","73.65","100%","+99.6%","2","33.7","20.5",".488","2.5",".417","2.5",".800","24.5","5.0","2.5","1.0","0.5","2.5","2.0"
"*05qtr*","Devin Vassell","SA","SG,SF","45","MPJ","@PHI<br/>Sat 6:00PM","73.61","99%","+99.3%","2","31.2","15.0",".333","2.0",".267","7.0",".714","17.0","3.5","4.0","1.5","0.0","1.0","1.0"
"*03byk*","Jordan Clarkson","UTA","SG","46","MPJ","","73.51","86%","+85.8%","2","32.2","13.0",".500","4.0",".500","3.0",".833","19.5","5.0","5.5","0.0","0.5","4.0","0.5"
"*05qu0*","Jaden McDaniels","MIN","SF,PF","47","CHI-VAN","","72.91","88%","+87.5%","2","37.2","8.5",".529","0.0",".000","6.0",".917","14.5","5.0","1.5","1.5","1.5","0.5","2.0"
"*051oh*","Zion Williamson","NO","PF","48","BNH","","72.59","100%","+99.5%","2","30.4","20.5",".439","0.0","0","4.0",".625","20.5","7.0","3.0","2.5","0.0","2.5","1.5"
"*042n6*","Jakob Poeltl","SA","C","49","HUGG","@PHI<br/>Sat 6:00PM","72.5","100%","+99.6%","2","27.8","9.5",".579","0.0","0","10.5",".619","17.5","8.5","3.5","0.5","0.5","2.5","1.5"
"*05qt0*","Saddiq Bey","DET","SF,PF","50","CHI-VAN","@IND<br/>Sat 7:00PM","72.48","99%","+99.4%","2","32.2","10.0",".550","2.0",".400","4.0","1.000","17.0","6.5","1.5","1.0","0.5","1.5","1.5"
"*05uiq*","Alperen Sengun","HOU","C","51","CTM","@MIL<br/>Sat 8:00PM","72.41","99%","+99.3%","2","24.5","11.0",".636","1.0",".500","7.0",".571","19.0","10.5","0.5","0.5","1.0","3.5","3.0"
"*03el5*","Kristaps Porzingis","WAS","PF,C","52","MPJ","","71.76","99%","+99%","2","30.3","13.5",".407","1.5",".300","3.0",".667","14.5","6.5","2.5","0.5","2.0","1.5","4.0"
"*03ad3*","Karl-Anthony Towns","MIN","PF,C","53","CHI-VAN","","71.65","100%","+99.7%","2","34.4","17.5",".314","2.0",".308","7.0",".929","19.5","7.0","4.5","0.0","0.0","4.0","4.5"
"*01uz7*","Gordon Hayward","CHA","SF,PF","54","BAM","","71.33","94%","+94%","2","33.0","15.0",".600","1.0",".333","4.5",".889","23.0","3.5","4.5","1.5","0.0","3.5","2.5"
"*04ewn*","OG Anunoby","TOR","SF,PF","55","HUGG","@MIA<br/>Sat 8:00PM","71.14","100%","+99.5%","2","37.4","10.5",".381","2.0",".444","4.5",".889","14.0","6.0","3.0","2.0","1.0","3.0","4.0"
"*05uib*","Cade Cunningham","DET","PG,SG","56","DOBB","@IND<br/>Sat 7:00PM","71.09","100%","+99.9%","2","33.8","16.0",".375","1.5",".250","4.0",".750","16.5","4.5","8.5","1.5","0.0","3.5","2.5"
"*06214*","Jaden Ivey","DET","SG","57","JR","@IND<br/>Sat 7:00PM","70.22","95%","+95.2%","2","30.4","13.5",".519","1.5",".375","2.5","1.000","18.0","2.5","6.5","1.5","0.0","3.0","3.5"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,SG","58","HUGG","@DEN<br/>Sat 9:00PM","70.05","99%","+99.2%","1","36.8","23.0",".522","2.0",".333","6.0","1.000","32.0","6.0","5.0","3.0","2.0","2.0","1.0"
"*05qtq*","Tre Jones","SA","PG","59","DOBB","@PHI<br/>Sat 6:00PM","69.9","96%","+95.6%","2","29.7","10.0",".550","1.0",".400","4.5",".889","16.0","3.5","3.0","1.5","1.0","1.5","3.5"
"*051pa*","Kevin Porter","HOU","PG,SG","60","CTM","@MIL<br/>Sat 8:00PM","69.72","100%","+99.6%","2","34.6","17.5",".429","3.5",".538","2.0",".500","19.5","6.0","5.5","1.0","0.0","3.5","3.0"
"*05qug*","Anthony Edwards","MIN","SG,SF","61","BOS","","69.38","100%","+99.8%","2","36.5","20.0",".400","2.0",".250","4.5",".556","20.5","6.5","4.5","0.0","0.5","3.5","2.5"
"*04qsa*","Jalen Brunson","NY","PG,SG","62","HUGG","","69.3","99%","+99.1%","2","32.2","14.5",".448","1.5",".375","2.5",".600","16.0","4.0","7.5","0.5","0.0","0.0","2.5"
"*05qub*","Isaiah Stewart","DET","PF,C","63","BNH","@IND<br/>Sat 7:00PM","69.28","95%","+94.8%","2","28.3","7.5",".400","1.0",".200","6.0",".667","11.0","7.5","2.0","1.5","0.5","0.5","2.5"
"*049kd*","Deandre Ayton","PHO","C","64","BAM","","69.21","99%","+99.2%","2","34.5","16.5",".606","0.5","1.000","3.0",".500","22.0","8.0","2.5","1.0","0.5","2.5","4.5"
"*03e6n*","Jusuf Nurkic","POR","C","65","REIM","","69.17","99%","+99.4%","2","30.2","9.5",".474","0.0",".000","5.5",".909","14.0","12.0","1.5","1.5","0.5","3.5","2.5"
"*02nf3*","Bradley Beal","WAS","SG","66","BNH","","69.01","97%","+97%","2","37.1","15.5",".581","1.5",".333","1.5","1.000","21.0","3.0","7.0","0.0","1.5","4.0","2.0"
"*04qs1*","Anfernee Simons","POR","PG,SG","67","REIM","","68.7","98%","+98%","2","38.9","19.5",".359","2.5",".278","3.0",".833","19.0","3.0","2.5","1.5","0.0","2.0","2.0"
"*027p4*","Tobias Harris","PHI","SF,PF","68","REIM","SA<br/>Sat 6:00PM","68.6","97%","+96.7%","2","33.8","12.0",".458","2.0",".400","1.0",".500","13.5","6.0","1.0","2.0","1.0","0.5","2.5"
"*04qrv*","Lonnie Walker","LAL","SG,SF","69","FA","","68.5","48%","+48.4%","2","32.9","14.0",".393","1.0",".167","4.0",".875","15.5","3.0","4.0","1.5","0.5","1.5","1.5"
"*04ewu*","Josh Hart","POR","SG,SF","70","CTM","","68.44","96%","+96.4%","2","39.6","10.0",".550","0.5",".500","3.5",".857","14.5","7.0","4.0","1.5","0.0","1.5","3.0"
"*04qrr*","Michael Porter","DEN","SF","71","BNH","OKC<br/>Sat 9:00PM","68","98%","+98%","2","31.6","11.0",".500","3.5",".500","2.0",".750","16.0","6.5","1.0","1.0","0.5","2.0","4.5"
"*04qse*","Gary Trent","TOR","SG,SF","72","DOBB","@MIA<br/>Sat 8:00PM","67.13","97%","+96.7%","2","36.5","14.0",".393","3.0",".400","3.5",".714","16.5","3.0","0.0","1.0","0.0","0.5","0.5"
"*05uie*","Scottie Barnes","TOR","SG,SF,PF","73","BOS","@MIA<br/>Sat 8:00PM","66.96","100%","+99.8%","2","34.1","14.0",".500","1.0",".667","1.0","1.000","16.0","5.0","5.0","2.0","1.0","3.0","3.0"
"*04jwd*","Royce O'Neale","BKN","SF,PF","74","BAM","","66.59","44%","+44.4%","2","36.7","7.0",".429","1.5",".429","1.0","1.000","8.5","5.5","3.0","2.5","2.0","1.0","3.0"
"*042n3*","Buddy Hield","IND","SG,SF","75","BOS","DET<br/>Sat 7:00PM","66.48","98%","+98.3%","2","28.0","12.5",".440","3.5",".412","0.0","0","14.5","7.5","2.5","1.0","0.5","2.0","3.5"
"*051os*","P.J. Washington","CHA","PF,C","76","JR","","66.35","99%","+98.6%","2","29.6","12.5",".440","2.5",".417","0.0","0","13.5","5.0","3.0","0.5","2.0","2.0","3.5"
"*06212*","Jabari Smith","HOU","SF,PF","77","CTM","@MIL<br/>Sat 8:00PM","65.59","99%","+98.9%","2","33.7","15.5",".290","2.5",".263","2.0","1.000","13.5","4.0","1.0","0.0","1.0","0.0","4.5"
"*03nwk*","Kelly Oubre Jr.","CHA","SG,SF","78","CHI-VAN","","65.51","92%","+91.7%","2","26.4","11.5",".478","1.5",".333","2.5",".600","14.0","4.0","1.0","2.5","0.0","1.0","4.0"
"*05uir*","Trey Murphy","NO","SF","79","FA","","65.16","66%","+66.1%","2","21.9","8.0",".500","3.0",".545","1.5",".667","12.0","6.0","1.0","1.5","0.5","0.5","3.0"
"*04kj6*","Luka Doncic","DAL","PG,SG","80","JR","MEM<br/>Sat 8:30PM","64.93","100%","+99.8%","1","36.7","23.0",".435","2.0",".200","13.0","1.000","35.0","9.0","6.0","1.0","0.0","4.0","3.0"
"*04qrl*","Wendell Carter","ORL","PF,C","81","BOS","BOS<br/>Sat 7:00PM","64.3","100%","+99.7%","2","32.8","10.5",".429","0.5",".111","3.5",".857","12.5","9.5","2.5","0.5","0.5","2.5","4.0"
"*0015b*","Kyle Lowry","MIA","PG","82","JR","TOR<br/>Sat 8:00PM","64.26","95%","+95.1%","2","34.0","10.0",".250","1.5",".250","4.0",".750","9.5","4.5","5.0","2.0","0.5","1.5","3.5"
"*031m2*","Giannis Antetokounmpo","MIL","PF,C","83","CHI-VAN","HOU<br/>Sat 8:00PM","63.85","100%","+99.8%","1","36.1","16.0",".563","1.0",".333","5.0",".400","21.0","13.0","8.0","1.0","3.0","1.0","4.0"
"*05qtd*","Nick Richards","CHA","C","84","FA","","63.78","33%","+33%","2","23.8","8.5",".529","0.0","0","4.5",".778","12.5","8.0","0.0","0.0","0.0","0.0","2.0"
"*0017e*","Chris Paul","PHO","PG","85","REIM","","63.63","99%","+99.1%","2","33.2","8.5",".353","0.0",".000","2.0","1.000","8.0","3.5","10.5","3.5","0.0","2.0","4.0"
"*04qrm*","Collin Sexton","UTA","PG,SG","86","FA","","63.49","99%","+98.6%","2","20.1","9.0",".444","0.5",".250","8.0",".875","15.5","4.0","3.0","0.0","0.0","1.0","1.5"
"*049s5*","Dennis Smith","CHA","PG","87","FA","","63.19","23%","+22.6%","2","21.8","7.0",".643","2.0",".800","0.0","0","11.0","2.0","4.0","2.5","1.0","1.0","1.5"
"*005kc*","Russell Westbrook","LAL","PG","88","CHI-VAN","","62.88","96%","+96.1%","2","29.0","11.5",".304","0.5",".111","3.5",".857","10.5","7.0","3.5","3.0","0.0","2.5","2.0"
"*05qsq*","Tyrese Maxey","PHI","PG,SG","89","JR","SA<br/>Sat 6:00PM","62.78","100%","+99.8%","2","36.2","14.5",".483","1.0",".250","3.5",".857","18.0","1.5","1.0","1.0","0.0","1.0","4.0"
"*02nfz*","Draymond Green","GS","PF,C","90","HUGG","","62.63","97%","+97.2%","2","25.7","5.5",".545","0.5",".333","2.0","1.000","8.5","4.0","7.0","1.0","1.0","1.0","3.5"
"*04ex6*","Isaiah Hartenstein","NY","PF,C","91","BNH","","62.45","82%","+82.4%","2","30.7","7.5",".600","0.5",".200","2.0",".750","11.0","9.5","2.0","1.0","1.0","2.0","4.5"
"*042ne*","Malik Beasley","UTA","SG,SF","92","FA","","62.4","52%","+51.6%","2","27.4","14.5",".379","3.0",".333","1.0","1.000","15.0","4.0","1.0","0.5","0.0","0.0","0.0"
"*04ewf*","Bam Adebayo","MIA","PF,C","93","BAM","TOR<br/>Sat 8:00PM","61.89","100%","+99.8%","2","34.4","13.0",".500","0.0","0","3.5",".714","15.5","8.5","3.5","1.0","0.5","5.0","4.0"
"*05ujc*","Ayo Dosunmu","CHI","PG,SG","94","HUGG","CLE<br/>Sat 8:00PM","61.86","81%","+81.2%","2","33.7","11.5",".435","2.0",".400","0.0","0","12.0","5.5","3.0","1.5","0.5","1.0","2.5"
"*051oj*","RJ Barrett","NY","SG,SF","95","BAM","","61.62","100%","+99.8%","2","32.6","16.5",".333","0.0",".000","4.0",".875","14.5","5.5","3.5","0.0","0.5","1.5","2.0"
"*0621l*","Walker Kessler","UTA","PF,C","96","BOS","","61.53","90%","+89.8%","2","20.7","4.0",".875","0.0","0","4.5",".444","9.0","7.5","1.5","0.5","2.0","1.0","1.5"
"*04ewe*","Donovan Mitchell","CLE","PG,SG","97","CHI-VAN","@CHI<br/>Sat 8:00PM","61.46","100%","+99.7%","1","34.5","21.0",".571","2.0",".250","6.0",".833","31.0","2.0","9.0","2.0","0.0","3.0","4.0"
"*051p2*","Grant Williams","BOS","SF,PF","98","BOS","@ORL<br/>Sat 7:00PM","61.45","50%","+50.1%","2","24.7","5.5",".818","2.5",".714","1.5",".667","12.5","4.0","1.5","0.0","1.0","0.5","2.0"
"*02nfk*","Evan Fournier","NY","SG,SF","99","FA","","61.03","56%","+56.3%","2","26.5","9.5",".368","2.5",".455","1.5","1.000","11.0","2.5","2.5","1.5","0.5","0.5","3.0"
"*027ou*","Klay Thompson","GS","SG,SF","100","HUGG","","61.02","96%","+96.1%","2","21.6","13.5",".444","3.0",".375","2.5",".800","17.0","3.0","3.0","0.5","0.0","3.0","1.5"
