"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros %","+/-","GP","MIN","FGA","FG%","3PTM","3PT%","FTA","FT%","PTS","REB","AST","ST","BLK","TO","PF"
"*01eo6*","James Harden","PHI","PG,SG","1","MPJ","@CHI<br/>Sat 8:00PM","100","100%","0%","6","37.0","15.8",".474","2.5",".366","5.5",".939","22.7","7.5","8.7","0.8","1.0","2.7","2.3"
"*01enh*","Stephen Curry","GS","PG,SG","2","BOS","@CHA<br/>Sat 7:00PM","97.65","99%","-0.1%","5","33.4","21.0",".486","5.4",".458","5.4",".926","30.8","6.0","6.0","1.4","0.2","2.6","1.4"
"*042nm*","Pascal Siakam","TOR","PF,C","3","CTM","","97.21","100%","+0.1%","6","37.8","18.8",".487","1.7",".357","7.7",".696","25.3","9.2","7.7","1.0","0.5","3.2","3.2"
"*03xmv*","Jayson Tatum","BOS","SF,PF","4","DOBB","","95.92","100%","0%","5","38.1","20.0",".560","3.0",".385","7.8",".897","32.4","8.0","3.6","0.8","1.2","2.2","2.0"
"*04848*","Fred VanVleet","TOR","PG,SG","5","MPJ","","95.65","100%","0%","6","37.9","11.3",".353","2.3",".378","3.5",".857","13.3","4.0","7.7","2.5","0.7","1.2","2.7"
"*027pe*","Jimmy Butler","MIA","SF,PF","6","MPJ","@SAC<br/>Sat 6:00PM","95.57","98%","+0.1%","6","35.1","14.5",".506","1.2",".467","7.8",".872","22.7","6.3","5.0","1.7","0.2","1.3","1.3"
"*027oj*","Kyrie Irving","BKN","PG,SG","7","HUGG","IND<br/>Sat 7:30PM","95.57","99%","+0.1%","5","38.9","23.8",".454","2.4",".261","6.0",".933","29.6","5.4","4.4","1.6","1.4","2.2","3.4"
"*03e75*","Nikola Jokic","DEN","C","8","REIM","","95.55","100%","0%","6","32.3","11.8",".606","0.5",".214","6.7",".875","20.7","10.7","8.8","1.5","0.3","2.7","3.2"
"*04kj6*","Luka Doncic","DAL","PG,SG","9","JR","OKC<br/>Sat 9:00PM","95.26","100%","0%","4","35.9","26.0",".500","2.5",".263","9.0",".861","36.3","9.5","9.3","2.0","0.8","3.8","2.5"
"*06210*","Paolo Banchero","ORL","PF","10","HUGG","","93.64","100%","0%","6","33.3","16.8",".465","1.3",".320","8.7",".750","23.5","8.3","3.8","0.7","1.3","2.7","2.0"
"*02ym0*","Andrew Wiggins","GS","SG,SF,PF","11","REIM","@CHA<br/>Sat 7:00PM","90.71","98%","+0.6%","5","33.3","15.4",".494","2.4",".364","3.2",".813","20.2","7.0","2.6","1.8","1.2","0.6","3.4"
"*05qtv*","Tyrese Haliburton","IND","PG,SG","12","BAM","@BKN<br/>Sat 7:30PM","90.13","100%","0%","6","33.4","15.7",".511","2.5",".429","4.8",".931","23.0","3.8","10.3","1.3","0.2","3.2","1.3"
"*042nq*","Dejounte Murray","ATL","PG,SG","13","CTM","@MIL<br/>Sat 8:00PM","89.56","100%","0%","5","37.7","17.8",".449","1.8",".346","2.4",".833","19.8","6.8","7.6","2.4","0.8","2.6","1.2"
"*04ewe*","Donovan Mitchell","CLE","PG,SG","14","CHI-VAN","","89.01","100%","+0.1%","5","39.3","22.6",".478","3.4",".405","6.8",".882","31.0","4.8","6.4","1.8","0.2","4.2","3.2"
